customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_calls_30d,payment_delay_days,usage_current_month_gb,usage_previous_month_gb,complaints_90d,churn,usage_drop_pct,is_month_to_month,has_fiber_service,uses_electronic_check,support_pressure_score,billing_risk_score,customer_value_score
C1001,60,95.5,5730,Month-to-month,Electronic check,Fiber optic,4,8,18,45,3,1,0.6,1,1,1,3.6,0.9033333333333333,5730.0
C1002,24,55.0,1320,One year,Credit card,DSL,1,0,40,42,0,0,0.047619047619047616,0,0,0,0.6,0.36666666666666664,1320.0
C1003,6,105.2,631,Month-to-month,Electronic check,Fiber optic,5,12,10,38,4,1,0.7368421052631579,1,1,1,4.6,1.1013333333333333,631.2
C1004,72,70.0,5040,Two year,Bank transfer,DSL,0,0,80,78,0,0,0.0,0,0,0,0.0,0.4666666666666667,5040.0
C1005,18,89.0,1602,Month-to-month,Electronic check,Fiber optic,3,6,22,35,2,1,0.37142857142857144,1,1,1,2.5999999999999996,0.7933333333333334,1602.0
C1006,48,65.0,3120,One year,Credit card,DSL,1,1,55,57,1,0,0.03508771929824561,0,0,0,1.0,0.4666666666666667,3120.0
C1007,12,100.0,1200,Month-to-month,Electronic check,Fiber optic,2,5,20,21,2,1,0.047619047619047616,1,1,1,2.0,0.8333333333333333,1200.0
C1008,36,45.0,1620,Two year,Bank transfer,Unknown,0,0,15,16,0,0,0.0625,0,0,0,0.0,0.3,1620.0
C1009,4,79.0,316,Month-to-month,Mailed check,Fiber optic,4,10,8,28,3,1,0.7142857142857143,1,1,0,3.6,0.8599999999999999,316.0
C1010,84,60.0,5040,Two year,Credit card,DSL,0,0,65,63,0,0,0.0,0,0,0,0.0,0.4,5040.0
C1011,30,98.0,2940,Month-to-month,Electronic check,Fiber optic,3,9,25,50,3,1,0.5,1,1,1,3.0,0.9533333333333334,2940.0
C1012,40,58.0,2320,One year,Bank transfer,DSL,1,0,48,50,0,0,0.04,0,0,0,0.6,0.38666666666666666,2320.0
